Date,Name,Comment
Mon Apr 06 23:43:55 PDT 2009,rose2784,Cherry blossoms are sooo beautiful.  I love spring.
Mon Apr 06 22:48:35 PDT 2009,Bleakey,@busybeeblogger I hope so too. More movies where we get to see his lil Gilles again hopefully 
Mon Apr 06 22:21:20 PDT 2009,scarletletterm,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
Tue Apr 07 01:13:59 PDT 2009,Spacegirlnz,@campmotha Yep. For oct  Book your accomodation at the Base. That's where we're staying!
Tue Apr 07 00:05:45 PDT 2009,jennyaiken,beginning to enjoy lazy town - oh dear 
Tue Apr 07 02:03:41 PDT 2009,iamjchristine,ashton kutcher is going to be on my tv tonight 
Mon Apr 06 22:21:39 PDT 2009,Anthony_Nguyen,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
Tue Apr 07 04:23:33 PDT 2009,joellerush,@mileycyrus GOOD LUCK! i wish i could be thereee 
Tue Apr 07 02:39:32 PDT 2009,DramaQueenx,Horrible Weather 
Tue Apr 07 00:24:32 PDT 2009,KristenCB,Goodnight everyone. Well I'm not feeling much better and I'm going to the doctor tomorrow.  
Tue Apr 07 01:07:25 PDT 2009,CazCore,i really want a puppy 
Tue Apr 07 03:00:40 PDT 2009,laurajdavis,"Watched #Twilight last night, was brill but not as good as the book! "
Tue Apr 07 01:09:09 PDT 2009,A_Real,"holy crap I haven't updated in forever  I just came on to say that. And, I'll try to update more. Good Night! "
Tue Apr 07 04:36:27 PDT 2009,x__cindy,@xx_maria ugh sux2bus. i'm on prepaid as well so accessing the net is bloody expensive! &amp; pretty sure txt updates cost a fair bit too. 
Tue Apr 07 01:02:56 PDT 2009,AlexisSugar,"@nicolerichie yep I remember Anne of Green Gables, they filmed a series near Toronto based on the books, Meegan Follows starred in it "
Tue Apr 07 02:03:54 PDT 2009,milesperdan,"ss favourite youtube clip, lightning mcqueen singing &quot;barbie girl&quot;, has been taken down. "
Tue Apr 07 00:53:20 PDT 2009,MorganMacLaren,@musewire http://twitpic.com/1ynob - Perhaps they are going to mime the new album???  
Tue Apr 07 02:04:18 PDT 2009,tinknevertalks,"@redtoffee Strawberry is the absolute best Angel Delight EVA!  I had chocolate once, but it was too sweet. "
Tue Apr 07 02:19:32 PDT 2009,jenius,Just bought 2 new reads - The Ten Commandments For Business Failure and More Softies: 22 New Friends For You To Sew And Crochet 
Tue Apr 07 01:25:09 PDT 2009,megasmalls,@bnish dan and i grabbed yardhouse earlier. why didn't you pirate it?! i was so disappointed 
Tue Apr 07 01:29:17 PDT 2009,arnikin,hates the waiting game. she hates uncertainties too. 
Mon Apr 06 23:43:24 PDT 2009,m0on7chiLd,@amirrabennett nope. baby's due in 5th may! getting closer but still 1001 things not done 
Tue Apr 07 00:53:44 PDT 2009,PaulaMarttila,@vilpponen It sure was a sunny day in Stockholm 
Mon Apr 06 23:17:57 PDT 2009,ANPshine,"@karanbir Excuse me? 3 yrs ago you were all over Subway's nuts  Indian Restaurant, cuz all these years I still haven't been to one."
Mon Apr 06 22:26:49 PDT 2009,SimoniNicole,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
Mon Apr 06 23:52:32 PDT 2009,jadeheart,"@itsangie i canceled it, with plane tickets, hotel stay and tickets.. it was close to $400 if we eat cheaply.   man i soooo want to see O!"
Tue Apr 07 01:04:07 PDT 2009,una_avion2010,"@suitelifeofkell aww, dont say that! ur face ain't bad! its rather pleasant and in phil ritcheys words, &quot;plump&quot; lol hehe "
Tue Apr 07 01:42:39 PDT 2009,lxinspc,hmm shoulder is making some bad noises if i move my arm back and forth (i know don't do it!) fear a return to physio may be required 
Tue Apr 07 02:28:11 PDT 2009,boomdeeclap,in the photoshop 
Mon Apr 06 23:23:35 PDT 2009,AshleyOpPp,"that damn house wants 3,000 more than we offered...ugh...may not be too out of reach though "
Tue Apr 07 01:51:57 PDT 2009,mazi159,Need to go and do some college work and then go to work having had no food  !
Mon Apr 06 22:38:17 PDT 2009,sydners,finally back on twitter 
Mon Apr 06 23:13:53 PDT 2009,caitd86,need to sleep. but cant 
Tue Apr 07 02:48:46 PDT 2009,mickyie,@melaniengzuer haha! nah! no more. i go back twice a month. the bus tickets too expensive already 
Tue Apr 07 01:53:03 PDT 2009,overbreaker,I just got an amazing new pedal.... and I just blew both of my speakers. 
Tue Apr 07 01:56:13 PDT 2009,cristy17,I really wish I was 100% better so I could be 100% awesome at work.  
Tue Apr 07 01:03:52 PDT 2009,claritypro,Good Morning all 
Mon Apr 06 23:27:22 PDT 2009,RavenSu,rt @KimKardashian Khloe just got fired from the Apprentice 
Mon Apr 06 23:48:28 PDT 2009,blissery,@jakechew ang ganda nga ng mr. intentional 
Tue Apr 07 01:24:21 PDT 2009,irenekao,'s car trade in plan didn't work out 2day. Laser's now @ auto wrecker's 4 repairs so she can do lots of test driving ... &amp; bargaining!!! 
Tue Apr 07 00:45:35 PDT 2009,bariles,just got back from the funeral of a government employee-friend.    http://plurk.com/p/n0bvd
Tue Apr 07 01:49:14 PDT 2009,raboof,Getting ready for a customer demo. Everyone's stress level are high! 
Mon Apr 06 23:25:23 PDT 2009,CristaltheGreat,@vernonhamilton You're a stranger   
Mon Apr 06 22:38:38 PDT 2009,iEgg,Rocking out to No Doubt and gonna start up some more Neverwinter Nights 
Tue Apr 07 03:10:42 PDT 2009,Muzzzza,coffee time - wish i had whiskey like @cameronreilly 
Mon Apr 06 23:03:53 PDT 2009,mikaylaxisxdead,@frankiekillsyo chocolate chip waffles 
Tue Apr 07 02:12:58 PDT 2009,rockstarbn,Is happy because I annihilated a baby huntsman in my kitchen with the cooking pan..however this means a MAMA one may be in hiding  FUCK!!!
Tue Apr 07 02:26:56 PDT 2009,Trummell,Getting ready for work... 6:30-3:15..  ..
Tue Apr 07 02:01:38 PDT 2009,MagickTom,has got to go into college today  in the holidays (((( !
Tue Apr 07 01:48:23 PDT 2009,philipjohn,@LichfieldBlog You're forgiven. There's a footy team in Brereton apparently. Tweet @JarrattDavis for the deets 
Tue Apr 07 00:43:43 PDT 2009,picktor,@ysnjen its not the quantity of your users.. its the quality of your users  .. social media metrics!
Tue Apr 07 00:28:10 PDT 2009,NHBS,@suehenry Great thank you I might chat with him. Thanks 
Tue Apr 07 00:53:22 PDT 2009,Mark_Sheldon,@levimorales  Cheers hope all is well with you too 
Tue Apr 07 01:59:02 PDT 2009,la_oof,"@AngelaWB i'm glad your day went better, and i hope today is fantastic.   xo"
Mon Apr 06 23:33:00 PDT 2009,730Fam,@LoveMeagan how i mss the snippet hun?..wts it of may i ask?..i wanna hear 
Tue Apr 07 02:13:36 PDT 2009,mauvedeity,Does Not Want co-worker's various lurgies 
Tue Apr 07 03:06:11 PDT 2009,beatbackbones,&quot;Who is your favorite vintage designer?&quot; Lucy: &quot;Topshop.&quot; I miss cycle 3 of britain's ntm. 
Tue Apr 07 01:58:14 PDT 2009,the8333696,"Please please please friends of Govanhill Baths, let me in to your empty swimming pool to take photos "
Tue Apr 07 00:48:12 PDT 2009,chregu,"Friboourg Liipers: Stay at home, there's no more space in zurich "
Tue Apr 07 00:33:08 PDT 2009,denisu81,@brandyfan4life glad to see you here... I heart other Brandy fans  goodnight!
Tue Apr 07 00:17:50 PDT 2009,pdx_photolover,@ryanrfish thank you 
Mon Apr 06 23:11:51 PDT 2009,Rayveniael,WTF Not Kutner!  Oh I'm so pissed @ House.  I mean really WTF   
Mon Apr 06 22:22:56 PDT 2009,lightleaves,"Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! "
Tue Apr 07 04:29:17 PDT 2009,MiaShmia,just realised how gutted she is to return back to London without The End 
Tue Apr 07 00:59:10 PDT 2009,lesley007,@123lottie AWWWWW you must have the patience of a saint. 
Mon Apr 06 23:57:45 PDT 2009,wiseleo,"@SlideShare_Dan Flickr for photos, Youtube for videos, Megaupload for large files. Own sites for articles. That's it. "
Tue Apr 07 00:57:15 PDT 2009,barbsrad,"I had plans today, and now I'm scared of you know, moving, for fear of teh boke  fml."
Tue Apr 07 00:32:50 PDT 2009,kayalexgor,@Codylfriend - you're not sweet 
Tue Apr 07 00:48:38 PDT 2009,MOApp,All clear! All important data restored! Now I have to setup my working Mac againï¿½ Thanks to Buddha for incremental backups 
Tue Apr 07 01:53:45 PDT 2009,xmissworldx,"@dottedwithearts hehe, bless you "
Tue Apr 07 01:10:15 PDT 2009,toughcity,haven't talk with aaliyah love in a few  miss her some. wife says to thank her for the mags she sent us ;)
Mon Apr 06 22:48:24 PDT 2009,spacetrinity,@KeepinUpWKris omg you are the best mom...your girls are blessed 
Mon Apr 06 23:52:32 PDT 2009,ChrisHeathcote,Gooooooooood Morning Twitterville. I wonder what today will bring and which song I'll have stuck in my head most of the day 
Tue Apr 07 03:22:07 PDT 2009,anhhung,"@doqtu84 too much flash, and the guestbook is outdated "
Mon Apr 06 23:38:29 PDT 2009,jmis,wants to go home and watch The Hills 
Tue Apr 07 01:33:19 PDT 2009,Ourlastmemory,is off to london today... swiss cottage to be precise!  x
Tue Apr 07 03:26:28 PDT 2009,mattmagic,"@miketually @DanLees  I wish people would stop doing stupid things like that! I leave mine on 365, I guess that proves the opposite "
Tue Apr 07 00:38:18 PDT 2009,cosimo179,@warrenparkinson the production is called Block Party. We dance while playing and making constructions with huge blocks 
Mon Apr 06 23:11:52 PDT 2009,Fang04,@AmberPacific i know i dont know why i said that 
Tue Apr 07 01:10:29 PDT 2009,Chelsicka,I wish this was easier. Or that you got the hint. booooo 
Tue Apr 07 03:27:43 PDT 2009,Timboski,No frickin way! http://tinyurl.com/3xzzcb How come I've never heard of this before!!! Maybe it's been canned  Scared just by the vid.
Tue Apr 07 00:14:03 PDT 2009,stencilboy,Woke up this morning don't believe what I saw...A hundred million bottles washed up on the shore!!! 
Tue Apr 07 03:38:04 PDT 2009,bryonywire,i suffered from writers block the entire day yesterday and then after midnight ideas started hitting me and i havnt yet been to sleep  :O
Tue Apr 07 00:53:30 PDT 2009,tdang,@pink3qannie you need to upload a pic 
Mon Apr 06 23:12:56 PDT 2009,aleskywalker,@TissieTC I agree with you!.. @nick_carter doesnt love us as much as @brian_littrell does  ? cuz he comes and visit us at fanclub chat!
Tue Apr 07 02:29:55 PDT 2009,hodgkinsonx,hi twiitters  i ammm sooooo tired right nowwww . FALLING ASLEEP ON MSN ! i am thinking a less lazy day today ;P xx
Tue Apr 07 04:13:37 PDT 2009,em_rose,Might go sit on the swing and do some revision later. I want to go on holiday 
Tue Apr 07 02:34:16 PDT 2009,timd6156,this is way to early to go to work 
Tue Apr 07 03:28:24 PDT 2009,cravenjade,@jamieharrop You a fan of Ross Noble? He once picked on me for a WHOLE performance here! I was the 'Awakeners Girl' according to him 
Tue Apr 07 01:54:09 PDT 2009,cassarani,"@amyknapp We're all good thanks  We're nowhere near the affected area, thank god. Pretty scary though."
Mon Apr 06 23:46:42 PDT 2009,Goldae,@AlyssaSpears I'm sorry.   Maybe walking around all goofy at the store would help...HINT HINT! &lt;3
Mon Apr 06 23:28:16 PDT 2009,brandonXmichael,"Well, tomorow should be fun. I don't know why! But I'm tired. Goodnight kids "
Tue Apr 07 02:10:58 PDT 2009,fiendishfish,"Am gutted, checked weather report for the wrong day! No fishing for me today "
Mon Apr 06 22:55:30 PDT 2009,vibratoria,"@stuiy never again will I click on a link that screams, &quot;I'm a spider, I'm a spider&quot;. I should have known better. yucky "
Mon Apr 06 23:02:58 PDT 2009,zephrip,@secretfanofu big news Andrew: I'm moving up to SF at the end of the month! So making the most of my last month in LA. 
Tue Apr 07 01:03:55 PDT 2009,Kitty_mrow,"catching up on Heroes, then it's off to Mistress "
Tue Apr 07 02:08:55 PDT 2009,Wordridden,"@yandle Aww, I wish I'd been looking out the window - or on the balcony doing something silly. "
Mon Apr 06 22:26:28 PDT 2009,natalieantipas,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
Mon Apr 06 23:48:25 PDT 2009,kjerk,"OH, and thanks again to @cwelchtn and @chipdaves for walking to my car and listening to the Beatles with me  Love you guys."
Tue Apr 07 00:05:44 PDT 2009,KIKILICOUS,"Just wrote a 2 pg paper n 30 min, studied n now off 2 bed. Gotta wake up n 3 hours. OH JOY!  Nite all!"
Tue Apr 07 01:37:58 PDT 2009,OzarksToday,Maria says Paul is our hero after jumping our car at the hospital so we could take our baby home!  Then he disappeared like Superman 
Mon Apr 06 22:27:18 PDT 2009,sonyolmos,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! 
Tue Apr 07 00:43:57 PDT 2009,LaurayShine,@Tyrese4ReaL GOOD NIGHT MR GIBSON. 
Mon Apr 06 23:38:39 PDT 2009,edwinduinkerken,Time for breakfast and then off to work. Going to visit a musical tonight. Looking forward to that 
Mon Apr 06 22:21:11 PDT 2009,Pbearfox,@julieebaby awe i love you too!!!! 1 am here  i miss you
Tue Apr 07 00:49:06 PDT 2009,debs__,And HELLO to you all! 
Mon Apr 06 23:53:59 PDT 2009,CSSVT,@0mie no thanks. I don't like jail 
Mon Apr 06 22:43:10 PDT 2009,v_for_victoria,"@suplada I'll get those stuff fr the UK/Japan. If I'm desperate enough for headphones from the US, I might do JAC. My tita can be slow. "
Mon Apr 06 23:34:30 PDT 2009,AllisonBies,I'm wishing I had more time 
Mon Apr 06 23:53:59 PDT 2009,RachelPipkin,Not anymore  how does Daisy manage to take up 75% of the bed?
Tue Apr 07 04:18:24 PDT 2009,lmac_,ugh todays going to be so bad 
Mon Apr 06 23:13:22 PDT 2009,darksoulkiller,http://www.flashsell.co.cc/parfumeslist.html - Fragrance House offer up to 70 % off ! Amazing 
Mon Apr 06 23:13:42 PDT 2009,brandicole09,@materialBITCH totally real! Theres no way that was faked! Aweosme though  HA
Tue Apr 07 03:08:17 PDT 2009,africamiranda,A long flight is made even longer by a seat that won't recline. Off the red eye and grumpy 
Tue Apr 07 01:18:53 PDT 2009,srdean,@samscotti sounds interesting already 
Mon Apr 06 22:33:37 PDT 2009,foxsyd,@Boobookittifukk not there yet. And i beleive so  red carpet sighting i hope.
Mon Apr 06 23:58:26 PDT 2009,jesskerr,sleeping under the stars 
Mon Apr 06 22:38:10 PDT 2009,MaraBG,"@pjaficionado  Having fun, loving life, happy to be in the game. Everything else is a bonus. Not just BS either!"
Mon Apr 06 22:21:07 PDT 2009,EmCDL,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
Mon Apr 06 22:53:55 PDT 2009,Chocoloka,@spencerordonez although we have lot work to do and cannot wait to start this project 
Tue Apr 07 03:52:23 PDT 2009,graciie_xo,washing the dishes  boohoo
Mon Apr 06 22:21:04 PDT 2009,BaptisteTheFool,Meh... Almost Lover is the exception... this track gets me depressed every time. 
Tue Apr 07 03:37:10 PDT 2009,doaflip,"Cutting grass with dad, hayfever "
Tue Apr 07 00:29:07 PDT 2009,gelibaac,designing my graduation announcements 
Mon Apr 06 23:10:06 PDT 2009,cartrouble,Superneej: Morning! Bah Car won't start.. waiting for the ANWB.... 
Tue Apr 07 00:48:39 PDT 2009,Misssarahnoir,@xjerx she's at the Ritz LOL but been there before and it's ok for a gig! Not got any more planned  what about you?
Mon Apr 06 22:26:48 PDT 2009,Dogbook,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
Tue Apr 07 02:19:21 PDT 2009,mhm72,"1/2 hr debugging for a CSS problem on a colleague's computer, before I remembered that I installed IE8 on my PC a couple of weeks ago "
Tue Apr 07 01:43:12 PDT 2009,JENSTEPHENS,@varunsriram I am on air everyday and get sick of being appropriate.  so you are my outlet.  
Tue Apr 07 00:58:06 PDT 2009,fieza46,"@angelalpev Fine, but swamped with work. Seriously need a break. -_- Pau rendang sounds yummy *stomach grumbling* "
Tue Apr 07 01:02:44 PDT 2009,eicmc,im hungryyyy   need more sushi
Mon Apr 06 23:28:32 PDT 2009,mahlersoboes,There's an inch of snow on the ground (and counting). I'm worried about the poor flowers 
Tue Apr 07 02:08:52 PDT 2009,Sierra07,@lwmedium  ? I need a box of tissues every show ? Luv it 
Tue Apr 07 00:08:18 PDT 2009,carlyeinfeld,@Sugadeaux I'm gonna email you - too much to write here! 
Mon Apr 06 23:53:19 PDT 2009,doogie23,@sexpensive Not really going  Wish I was though. Wasn't this hot.
Mon Apr 06 22:43:43 PDT 2009,bonerjamz,@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?
Mon Apr 06 22:41:07 PDT 2009,elamparuthi,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.
Tue Apr 07 01:32:10 PDT 2009,tomhufnagel,@jerrrm today can not. meeting the whole day. gilaaaa 
Tue Apr 07 01:44:19 PDT 2009,roderickvd,@mdbraber Depends on if you see a use for the applications 
Tue Apr 07 04:00:56 PDT 2009,mediasnackers,@andycub my current contract will be up before then - damn 
Mon Apr 06 23:08:12 PDT 2009,Zella17,"@Laura_McAuliffe errrrr oops, i could possibly me mistaken  i didnt know any Aussies follwed me lol."
Tue Apr 07 01:13:10 PDT 2009,noinfo,yay! now i know about my new bike. bought it in a small and very nice little shop in the city. great used MTB at a great price. 
Tue Apr 07 02:09:29 PDT 2009,pinkmonkies,"No, that's not him in the picture. I don't have any pics yet "
Mon Apr 06 22:58:09 PDT 2009,kousik,@privarma I hope the Rupee symbol won't look like the &quot;R&quot; they use in Reliance 
Tue Apr 07 03:14:01 PDT 2009,ellahungerford,"ughh can't find my red sox hat, gotta wear this creepy nick pirro version "
Mon Apr 06 22:43:21 PDT 2009,Scath,"If I can make it to bed without running into a wall or tripping over my own feet, that is. Heh. "
Tue Apr 07 00:53:15 PDT 2009,HarryHarley,@Heidi_Volturi see there you go again laughing at me!! it's time I go now you be good and hey get some sleep!! 
Mon Apr 06 23:02:39 PDT 2009,zyree,@lovebscott umm nope..think im an insomniac ..plus i got the flu...i'lll be sleepin like a phuckin fish outta water any minute now! 
Tue Apr 07 00:17:53 PDT 2009,badeedadee,@saritaonline and snoring zzzZzzz.. 
Tue Apr 07 01:21:40 PDT 2009,MancUK,@Splont   I have a meeting all morning today if that makes you feel better ? Though I finish tomorrow until next weds to make you hate me!
Mon Apr 06 23:08:27 PDT 2009,Linda8286,@McCainBlogette Awwwww and you were trying to go to sleep 3 hours ago 
Tue Apr 07 01:18:16 PDT 2009,Michellebeaumom,"Ok...now only 30 minutes left! can't wait! 4 days off solely to myself..ahhhh..no phones, radio's...saved a life tonight..felt good! "
Tue Apr 07 01:50:41 PDT 2009,CJ592,@sminchin1977 sorry to hear you're unwell.  It's the school holiday syndrome again 
Tue Apr 07 03:42:55 PDT 2009,CathrynR,"@Aneeqah Only a pleasure... Someone had better have come brownie joy, and it ain't going to be me  Pigging out vicariously through you!"
Tue Apr 07 01:54:24 PDT 2009,xxcharxx239,About to ge ready for work as i have a 9 hour shift ahead of me  x
Tue Apr 07 00:59:01 PDT 2009,metanoia75,"Need help: How do I find out which followers left, who is the most active tweeter, and other such interesting tidbits "
Tue Apr 07 04:00:59 PDT 2009,transitions14,i'm appreciative of these few minutes of safety and freedom of thought. better go back into the fray 
Mon Apr 06 23:48:14 PDT 2009,stephaniemarie_,I want to get back in bed 
Tue Apr 07 02:14:12 PDT 2009,SiobhanLaura,@Muzzzza ur as bad as @KateEdwards 
Mon Apr 06 23:27:21 PDT 2009,canu_diggit,@SimoneKali Get me an autograph and shout out! You have to record it though. My computer is dead so I can't listen. 
Tue Apr 07 03:15:21 PDT 2009,crooneybrowne,@Vicki_Owen I used it for undergrad dissertation many years ago but haven't used it since.Recall hating it but think I need to use again! 
Mon Apr 06 22:32:57 PDT 2009,zippyoloo,@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight 
Tue Apr 07 01:39:01 PDT 2009,dannylonestar,Sweet! Its begun  Breaking News: the world is going to end aha oh shit lol
Mon Apr 06 22:37:16 PDT 2009,lizzzzlemon,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. 
Tue Apr 07 03:06:17 PDT 2009,cadcam3d,Testing twitter mobile SMS from Australia (expensive  )
Tue Apr 07 01:58:28 PDT 2009,mdbraber,"I'm now officially part of @ouroffice (or put otherwise, I've enabled nmbd-lookup queries "
Mon Apr 06 22:52:44 PDT 2009,funkyfreshbabe,trust is hard 
Tue Apr 07 00:49:22 PDT 2009,liljessboboy,Really tired. Goodnight everyone! 
Mon Apr 06 22:56:01 PDT 2009,JennaBennett01,Such a tough game to watch tonight for State  Finally going to bed after also staying up to watch the season premiere of the Hills!
Tue Apr 07 01:13:35 PDT 2009,cleaner,@cateyez didn't know you had multiple dogs  what breed and so are they?
Mon Apr 06 22:41:20 PDT 2009,voguea,playing game at home! my new boss didn't call me yet... 
Tue Apr 07 02:20:52 PDT 2009,ShikhaBirdie,At my mama ji's place.. everybody keeps giving me new options to study or work now. i get more confused with each passing day.. 
Tue Apr 07 00:53:16 PDT 2009,jkreeftmeijer,@Renato71 good morning! How are you doing? Is there another @delekkersteshow in the making already? 
Tue Apr 07 00:28:22 PDT 2009,RoseStack,@andyclemmensen haha ur gonna get waay pissed at us. ur using that pic i sent u as ur facebook picture!!  read the message i sent u on fb
Tue Apr 07 02:28:43 PDT 2009,rlineker,@chrisgarrett I'm up for it! can't wait to here more details 
Mon Apr 06 22:28:38 PDT 2009,tweetles,Really tired. Going to prepare for bed. G'night! 
Tue Apr 07 00:58:59 PDT 2009,VioletLeBeaux,@markblomeley Thanks  We currently have a couple a strategic alliances going but are always on the look out for others. Something in mind?
Mon Apr 06 23:38:30 PDT 2009,agiftedmind,"@Malunis Ohh! Classics Armada. I'd want the Seekers in that series, or the minicons. "
Mon Apr 06 23:53:19 PDT 2009,hiddenharmony,[2/2] orkut's team cleaned the phishing link in few hours and responded to me with a thank you note 
Tue Apr 07 00:43:43 PDT 2009,thomasleitner,"Part 3: long before the US became afraid of the words fuck, cock, pussy and so on   RAW is Delirous and DELIRIOUS is raw  5 out of 5"
Tue Apr 07 01:41:58 PDT 2009,Ynenny,Just saw Dan off neighbours walking down Chapel street...random!!!! Feeling like they are going to fire me at work  any1 got a job going
Tue Apr 07 00:48:28 PDT 2009,rob_caporetto,@badmonkeh That's always a given when it comes to anything touched by the Government (Myki is a perfect example) - but I'm just a cynic 
Mon Apr 06 23:27:58 PDT 2009,JoL1hAHN,@lchin jogging while talking about ruby... the new frontier of fitness for the ruby hacker?  seems cool anyway
Tue Apr 07 01:07:46 PDT 2009,danni11,"@mileycyrus http://twitpic.com/2y606 - awwwww shes sooooooooooooooooooo cute, thats a really cute pose...i want her "
Mon Apr 06 23:47:36 PDT 2009,MissLavie,"Wishing it wasn't 245 in the morning.  sleeping is awesome, work is not, and I need to scrub my apt!"
Tue Apr 07 02:04:02 PDT 2009,notytony,@rashmibansal Thank you  you can check out a few more of my similar ones here http://tony.nitw.googlepages.com/thewit-a-mintablet
